Participant No,Group,as1,as2,as3,af1,af2,af3,cs1,cs2,cs3,cf1,cf2,cf3
P1,Fill-in-the-Blank,2,2,2,6,6,6,6,6,6,2,2,2
P2,Fill-in-the-Blank,7,5,4,7,3,2,5,6,7,5,6,2
P3,Fill-in-the-Blank,2,2,2,5,6,6,4,3,4,5,6,4
P4,Fill-in-the-Blank,4,5,4,3,2,2,6,7,7,4,3,2
P5,Fill-in-the-Blank,5,5,5,2,6,7,6,6,5,5,2,2
P6,Fill-in-the-Blank,3,3,3,5,5,5,4,4,4,5,4,4
P7,Fill-in-the-Blank,5,3,3,2,4,4,5,3,4,3,5,3
P8,Fill-in-the-Blank,5,5,4,1,1,1,3,3,5,2,5,5
P9,Fill-in-the-Blank,5,6,5,1,1,1,3,3,3,3,5,5
P10,Fill-in-the-Blank,3,2,3,7,7,7,3,3,3,3,4,3
P11,Fill-in-the-Blank,5,5,5,3,5,5,6,5,6,3,4,5
P12,Fill-in-the-Blank,1,1,1,5,7,7,1,1,1,7,7,7
P13,Fill-in-the-Blank,3,3,3,5,6,6,6,6,6,2,3,3
P14,Fill-in-the-Blank,2,2,2,6,6,6,2,2,3,6,6,6
P15,Fill-in-the-Blank,2,2,2,6,6,7,6,5,5,2,2,2
P16,Fill-in-the-Blank,2,2,2,5,6,6,2,2,2,6,6,6
P17,Fill-in-the-Blank,7,7,7,1,1,1,5,5,4,3,3,3
P18,Fill-in-the-Blank,7,7,3,2,3,7,4,3,4,6,7,7
P19,Fill-in-the-Blank,1,1,1,7,7,7,1,1,1,7,7,7
P20,Fill-in-the-Blank,1,2,2,7,7,6,4,5,5,5,4,4
P21,Fill-in-the-Blank,6,6,6,6,6,6,6,6,6,1,1,1
P22,Fill-in-the-Blank,6,6,6,2,4,2,4,4,5,3,3,3
P23,Fill-in-the-Blank,5,5,4,3,4,3,4,5,6,3,4,4
P24,Fill-in-the-Blank,6,4,4,4,4,4,3,4,3,4,4,4
P25,Fill-in-the-Blank,2,6,3,6,6,6,5,4,5,4,6,6
P26,Open-ended Programming,6,6,7,6,3,3,4,5,5,5,5,5
P27,Open-ended Programming,6,6,6,2,2,2,6,5,5,2,5,6
P28,Open-ended Programming,2,2,1,6,4,4,5,5,6,2,2,2
P29,Open-ended Programming,1,2,1,6,7,6,5,5,3,7,6,7
P30,Open-ended Programming,1,1,1,7,7,7,1,1,1,7,7,7
P31,Open-ended Programming,3,3,3,3,5,5,4,4,5,3,5,5
P32,Open-ended Programming,1,1,2,7,6,7,6,6,6,3,2,3
P33,Open-ended Programming,5,5,5,3,3,4,5,5,5,3,5,5
P34,Open-ended Programming,6,6,6,2,5,6,4,4,3,5,5,5
P35,Open-ended Programming,3,3,3,5,5,4,5,5,3,4,5,5
P36,Open-ended Programming,6,5,6,3,6,5,5,6,6,2,3,3
P37,Open-ended Programming,4,4,4,4,5,5,6,6,4,2,6,7
P38,Open-ended Programming,2,2,2,6,6,6,2,2,2,6,7,7
P39,Open-ended Programming,5,5,5,1,1,1,6,6,6,1,1,1
P40,Open-ended Programming,6,5,7,2,5,3,7,7,7,1,5,5
P41,Open-ended Programming,4,5,5,3,5,6,3,2,4,5,7,7
P42,Open-ended Programming,7,7,7,2,3,4,7,7,6,1,1,1
P43,Open-ended Programming,1,1,1,1,7,7,3,3,2,6,7,7
P44,Open-ended Programming,4,4,4,4,4,6,3,2,2,6,6,6
P45,Open-ended Programming,5,6,6,3,3,2,6,5,6,2,3,3
P46,Open-ended Programming,3,2,4,3,5,6,3,3,3,4,6,6
P47,Open-ended Programming,5,6,6,4,7,4,6,6,5,1,1,1
P48,Open-ended Programming,7,6,7,2,2,2,6,6,6,2,2,3
P49,Open-ended Programming,6,6,6,2,2,3,6,6,6,3,3,3
P50,Open-ended Programming,5,6,6,2,4,4,1,1,5,3,5,5
